oq,rvnm,stcd,stnm,tm,wptn,z
6030,长江干流,60106980,三峡水库,1704034800000,4,167.150
6020,长江干流,60106980,三峡水库,1704038400000,5,167.180
6020,长江干流,60106980,三峡水库,1704042000000,4,167.160
6010,5600,长江干流,60106980,三峡水库,1704045600000,4,167.140
6010,长江干流,60106980,三峡水库,1704049200000,5,167.150
6010,长江干流,60106980,三峡水库,1704052800000,4,167.140
6000,长江干流,60106980,三峡水库,1704056400000,4,167.130
5990,长江干流,60106980,三峡水库,1704060000000,4,167.120
5990,长江干流,60106980,三峡水库,1704063600000,4,167.060
5980,5600,长江干流,60106980,三峡水库,1704067200000,5,167.080
6630,长江干流,60106980,三峡水库,1704070800000,4,167.040
7480,长江干流,60106980,三峡水库,1704074400000,4,167.030
7480,长江干流,60106980,三峡水库,1704078000000,4,167.020
7490,长江干流,60106980,三峡水库,1704081600000,4,167.010
7490,长江干流,60106980,三峡水库,1704085200000,5,167.030
7500,5600,长江干流,60106980,三峡水库,1704088800000,5,167.040
7490,长江干流,60106980,三峡水库,1704092400000,5,167.050
7500,长江干流,60106980,三峡水库,1704096000000,5,167.070
7500,长江干流,60106980,三峡水库,1704099600000,6,167.070
8250,长江干流,60106980,三峡水库,1704103200000,6,167.070
8850,长江干流,60106980,三峡水库,1704106800000,4,167.020
8860,5600,长江干流,60106980,三峡水库,1704110400000,4,167.000
8880,长江干流,60106980,三峡水库,1704114000000,4,166.990
6420,长江干流,60106980,三峡水库,1704117600000,5,167.050
6040,长江干流,60106980,三峡水库,1704121200000,6,167.050
6040,长江干流,60106980,三峡水库,1704124800000,5,167.100
6030,长江干流,60106980,三峡水库,1704128400000,6,167.100
6000,5600,长江干流,60106980,三峡水库,1704132000000,4,167.090
6010,长江干流,60106980,三峡水库,1704135600000,5,167.100
6000,长江干流,60106980,三峡水库,1704139200000,4,167.070
6000,长江干流,60106980,三峡水库,1704142800000,4,167.060
5990,长江干流,60106980,三峡水库,1704146400000,4,167.050
5990,长江干流,60106980,三峡水库,1704150000000,4,167.020
6000,5800,长江干流,60106980,三峡水库,1704153600000,6,167.020
6740,长江干流,60106980,三峡水库,1704157200000,4,167.000
7500,长江干流,60106980,三峡水库,1704160800000,4,166.980
7510,长江干流,60106980,三峡水库,1704164400000,4,166.950
7510,长江干流,60106980,三峡水库,1704168000000,4,166.930
7520,长江干流,60106980,三峡水库,1704171600000,6,166.930
7520,5800,长江干流,60106980,三峡水库,1704175200000,6,166.930
7530,长江干流,60106980,三峡水库,1704178800000,6,166.930
