q,rvnm,stcd,stnm,tm,wptn,z
0,2700,洞庭湖湖口,61512000,七里山,1744110000000,6,20.44
0,2710,洞庭湖湖口,61512000,七里山,1744113600000,5,20.45
0,2710,洞庭湖湖口,61512000,七里山,1744117200000,5,20.46
0,2720,洞庭湖湖口,61512000,七里山,1744120800000,5,20.47
0,2720,洞庭湖湖口,61512000,七里山,1744124400000,6,20.47
0,2730,洞庭湖湖口,61512000,七里山,1744128000000,5,20.48
0,2730,洞庭湖湖口,61512000,七里山,1744131600000,5,20.49
0,2730,洞庭湖湖口,61512000,七里山,1744135200000,6,20.49
0,2740,洞庭湖湖口,61512000,七里山,1744138800000,5,20.5
0,2740,洞庭湖湖口,61512000,七里山,1744142400000,5,20.51
0,2740,洞庭湖湖口,61512000,七里山,1744146000000,6,20.51
0,2750,洞庭湖湖口,61512000,七里山,1744149600000,5,20.52
0,2760,洞庭湖湖口,61512000,七里山,1744153200000,5,20.53
0,2760,洞庭湖湖口,61512000,七里山,1744156800000,6,20.53
0,2070,洞庭湖湖口,61512000,七里山,1744164000000,5,20.55
0,2070,洞庭湖湖口,61512000,七里山,1744167600000,6,20.55
0,2070,洞庭湖湖口,61512000,七里山,1744171200000,5,20.56
0,2070,洞庭湖湖口,61512000,七里山,1744174800000,5,20.57
0,2060,洞庭湖湖口,61512000,七里山,1744178400000,5,20.58
0,2060,洞庭湖湖口,61512000,七里山,1744182000000,6,20.58
0,2060,洞庭湖湖口,61512000,七里山,1744185600000,5,20.59
0,2060,洞庭湖湖口,61512000,七里山,1744189200000,6,20.59
0,2050,洞庭湖湖口,61512000,七里山,1744192800000,5,20.61
0,2050,洞庭湖湖口,61512000,七里山,1744196400000,6,20.61
0,2050,洞庭湖湖口,61512000,七里山,1744200000000,5,20.62
0,2050,洞庭湖湖口,61512000,七里山,1744203600000,5,20.63
0,2050,洞庭湖湖口,61512000,七里山,1744207200000,5,20.64
0,2040,洞庭湖湖口,61512000,七里山,1744210800000,5,20.65
0,2040,洞庭湖湖口,61512000,七里山,1744214400000,5,20.66
0,2040,洞庭湖湖口,61512000,七里山,1744218000000,6,20.66
0,2040,洞庭湖湖口,61512000,七里山,1744221600000,5,20.67
0,2030,洞庭湖湖口,61512000,七里山,1744225200000,5,20.68
0,2030,洞庭湖湖口,61512000,七里山,1744228800000,5,20.69
0,2030,洞庭湖湖口,61512000,七里山,1744232400000,6,20.69
0,2030,洞庭湖湖口,61512000,七里山,1744236000000,5,20.7
0,2030,洞庭湖湖口,61512000,七里山,1744239600000,5,20.71
0,2020,洞庭湖湖口,61512000,七里山,1744243200000,5,20.72
0,2020,洞庭湖湖口,61512000,七里山,1744250400000,5,20.73
0,2020,洞庭湖湖口,61512000,七里山,1744254000000,5,20.74
0,2010,洞庭湖湖口,61512000,七里山,1744257600000,5,20.75
0,2010,洞庭湖湖口,61512000,七里山,1744261200000,6,20.75
0,2010,洞庭湖湖口,61512000,七里山,1744264800000,5,20.76
0,2010,洞庭湖湖口,61512000,七里山,1744268400000,6,20.76
0,2010,洞庭湖湖口,61512000,七里山,1744272000000,5,20.77
0,2010,洞庭湖湖口,61512000,七里山,1744275600000,6,20.77
0,2000,洞庭湖湖口,61512000,七里山,1744279200000,5,20.78
0,2000,洞庭湖湖口,61512000,七里山,1744282800000,5,20.8
0,2000,洞庭湖湖口,61512000,七里山,1744286400000,6,20.8
0,2000,洞庭湖湖口,61512000,七里山,1744290000000,5,20.81
0,2000,洞庭湖湖口,61512000,七里山,1744293600000,6,20.81
0,1990,洞庭湖湖口,61512000,七里山,1744297200000,5,20.82
0,1990,洞庭湖湖口,61512000,七里山,1744300800000,5,20.83
0,1990,洞庭湖湖口,61512000,七里山,1744304400000,6,20.83
0,1990,洞庭湖湖口,61512000,七里山,1744308000000,5,20.84
0,1990,洞庭湖湖口,61512000,七里山,1744311600000,6,20.84
0,1980,洞庭湖湖口,61512000,七里山,1744315200000,5,20.85
0,1980,洞庭湖湖口,61512000,七里山,1744318800000,5,20.86
0,1980,洞庭湖湖口,61512000,七里山,1744322400000,6,20.86
0,1980,洞庭湖湖口,61512000,七里山,1744326000000,5,20.87
0,1980,洞庭湖湖口,61512000,七里山,1744329600000,6,20.87
0,1970,洞庭湖湖口,61512000,七里山,1744336800000,5,20.88
0,1920,洞庭湖湖口,61512000,七里山,1744340400000,5,20.89
0,1920,洞庭湖湖口,61512000,七里山,1744344000000,5,20.9
0,1920,洞庭湖湖口,61512000,七里山,1744347600000,6,20.9
0,1910,洞庭湖湖口,61512000,七里山,1744351200000,5,20.92
0,1910,洞庭湖湖口,61512000,七里山,1744354800000,5,20.93
0,1900,洞庭湖湖口,61512000,七里山,1744358400000,5,20.94
0,1910,洞庭湖湖口,61512000,七里山,1744362000000,4,20.93
0,1900,洞庭湖湖口,61512000,七里山,1744365600000,5,20.94
0,1900,洞庭湖湖口,61512000,七里山,1744369200000,5,20.96
0,1900,洞庭湖湖口,61512000,七里山,1744372800000,6,20.96
0,1900,洞庭湖湖口,61512000,七里山,1744376400000,6,20.96
0,1890,洞庭湖湖口,61512000,七里山,1744380000000,5,20.97
0,1900,洞庭湖湖口,61512000,七里山,1744383600000,4,20.96
0,1900,洞庭湖湖口,61512000,七里山,1744387200000,6,20.96
0,1900,洞庭湖湖口,61512000,七里山,1744390800000,6,20.96
0,1900,洞庭湖湖口,61512000,七里山,1744394400000,6,20.96
0,1890,洞庭湖湖口,61512000,七里山,1744398000000,5,20.98
0,1890,洞庭湖湖口,61512000,七里山,1744401600000,6,20.98
0,1880,洞庭湖湖口,61512000,七里山,1744405200000,5,21.01
0,1880,洞庭湖湖口,61512000,七里山,1744408800000,5,21.02
0,1870,洞庭湖湖口,61512000,七里山,1744412400000,5,21.03
0,1870,洞庭湖湖口,61512000,七里山,1744416000000,6,21.03
0,1890,洞庭湖湖口,61512000,七里山,1744423200000,4,20.98
0,1890,洞庭湖湖口,61512000,七里山,1744426800000,6,20.98
0,1880,洞庭湖湖口,61512000,七里山,1744430400000,5,21.01
0,1870,洞庭湖湖口,61512000,七里山,1744434000000,5,21.03
0,1870,洞庭湖湖口,61512000,七里山,1744437600000,5,21.04
0,1860,洞庭湖湖口,61512000,七里山,1744441200000,5,21.06
0,1860,洞庭湖湖口,61512000,七里山,1744444800000,4,21.05
0,1860,洞庭湖湖口,61512000,七里山,1744448400000,5,21.07
0,1850,洞庭湖湖口,61512000,七里山,1744452000000,5,21.09
0,1840,洞庭湖湖口,61512000,七里山,1744455600000,5,21.11
0,1840,洞庭湖湖口,61512000,七里山,1744459200000,5,21.12
