oq,rvnm,stcd,stnm,tm,wptn,z
1010,0,汉江,61802700,丹江口水库,1744063200000,6,152.29
973,0,汉江,61802700,丹江口水库,1744066800000,5,152.3
606,741,汉江,61802700,丹江口水库,1744070400000,6,152.3
530,0,汉江,61802700,丹江口水库,1744077600000,6,152.29
529,0,汉江,61802700,丹江口水库,1744081200000,6,152.29
531,0,汉江,61802700,丹江口水库,1744084800000,6,152.29
531,0,汉江,61802700,丹江口水库,1744088400000,6,152.29
1250,336,汉江,61802700,丹江口水库,1744092000000,6,152.29
740,0,汉江,61802700,丹江口水库,1744095600000,5,152.29
1240,0,汉江,61802700,丹江口水库,1744099200000,6,152.29
979,0,汉江,61802700,丹江口水库,1744102800000,4,152.28
1280,0,汉江,61802700,丹江口水库,1744106400000,4,152.27
1280,0,汉江,61802700,丹江口水库,1744110000000,4,152.26
1290,889,汉江,61802700,丹江口水库,1744113600000,5,152.27
545,0,汉江,61802700,丹江口水库,1744117200000,6,152.27
544,0,汉江,61802700,丹江口水库,1744120800000,6,152.27
750,0,汉江,61802700,丹江口水库,1744124400000,4,152.26
815,0,汉江,61802700,丹江口水库,1744128000000,6,152.26
751,0,汉江,61802700,丹江口水库,1744131600000,6,152.26
672,724,汉江,61802700,丹江口水库,1744135200000,5,152.27
672,0,汉江,61802700,丹江口水库,1744138800000,6,152.27
671,0,汉江,61802700,丹江口水库,1744142400000,4,152.26
600,0,汉江,61802700,丹江口水库,1744146000000,4,152.25
599,0,汉江,61802700,丹江口水库,1744149600000,5,152.26
750,0,汉江,61802700,丹江口水库,1744153200000,6,152.26
752,379,汉江,61802700,丹江口水库,1744156800000,6,152.26
576,0,汉江,61802700,丹江口水库,1744164000000,4,152.25
624,0,汉江,61802700,丹江口水库,1744167600000,5,152.26
587,0,汉江,61802700,丹江口水库,1744171200000,4,152.24
1270,0,汉江,61802700,丹江口水库,1744174800000,6,152.24
856,211,汉江,61802700,丹江口水库,1744178400000,6,152.24
751,0,汉江,61802700,丹江口水库,1744182000000,4,152.23
975,0,汉江,61802700,丹江口水库,1744185600000,6,152.23
860,0,汉江,61802700,丹江口水库,1744189200000,6,152.23
764,0,汉江,61802700,丹江口水库,1744192800000,4,152.22
765,0,汉江,61802700,丹江口水库,1744196400000,4,152.21
763,312,汉江,61802700,丹江口水库,1744200000000,6,152.21
765,0,汉江,61802700,丹江口水库,1744203600000,5,152.22
767,0,汉江,61802700,丹江口水库,1744207200000,4,152.21
773,0,汉江,61802700,丹江口水库,1744210800000,6,152.21
1100,0,汉江,61802700,丹江口水库,1744214400000,6,152.21
753,0,汉江,61802700,丹江口水库,1744218000000,6,152.21
529,1080,汉江,61802700,丹江口水库,1744221600000,5,152.22
528,0,汉江,61802700,丹江口水库,1744225200000,4,152.21
527,0,汉江,61802700,丹江口水库,1744228800000,4,152.2
528,0,汉江,61802700,丹江口水库,1744232400000,6,152.2
528,0,汉江,61802700,丹江口水库,1744236000000,5,152.21
527,0,汉江,61802700,丹江口水库,1744239600000,4,152.2
529,519,汉江,61802700,丹江口水库,1744243200000,6,152.2
513,0,汉江,61802700,丹江口水库,1744250400000,6,152.2
513,0,汉江,61802700,丹江口水库,1744254000000,5,152.21
521,0,汉江,61802700,丹江口水库,1744257600000,4,152.2
660,0,汉江,61802700,丹江口水库,1744261200000,6,152.2
514,272,汉江,61802700,丹江口水库,1744264800000,4,152.19
700,0,汉江,61802700,丹江口水库,1744268400000,4,152.18
1040,0,汉江,61802700,丹江口水库,1744272000000,6,152.18
1040,0,汉江,61802700,丹江口水库,1744275600000,6,152.18
1050,0,汉江,61802700,丹江口水库,1744279200000,4,152.17
1050,0,汉江,61802700,丹江口水库,1744282800000,6,152.17
1050,365,汉江,61802700,丹江口水库,1744286400000,6,152.17
1050,0,汉江,61802700,丹江口水库,1744290000000,6,152.17
1040,0,汉江,61802700,丹江口水库,1744293600000,6,152.17
1050,0,汉江,61802700,丹江口水库,1744297200000,6,152.17
1050,0,汉江,61802700,丹江口水库,1744300800000,6,152.17
546,0,汉江,61802700,丹江口水库,1744304400000,6,152.17
552,685,汉江,61802700,丹江口水库,1744308000000,4,152.16
553,0,汉江,61802700,丹江口水库,1744311600000,4,152.14
554,0,汉江,61802700,丹江口水库,1744315200000,5,152.15
554,0,汉江,61802700,丹江口水库,1744318800000,6,152.15
553,0,汉江,61802700,丹江口水库,1744322400000,5,152.16
528,0,汉江,61802700,丹江口水库,1744326000000,4,152.15
525,845,汉江,61802700,丹江口水库,1744329600000,5,152.17
779,0,汉江,61802700,丹江口水库,1744336800000,4,152.15
1050,0,汉江,61802700,丹江口水库,1744340400000,4,152.13
1070,0,汉江,61802700,丹江口水库,1744344000000,5,152.16
1070,0,汉江,61802700,丹江口水库,1744347600000,4,152.13
1060,440,汉江,61802700,丹江口水库,1744351200000,5,152.14
1030,0,汉江,61802700,丹江口水库,1744354800000,4,152.13
1040,0,汉江,61802700,丹江口水库,1744358400000,6,152.13
1030,0,汉江,61802700,丹江口水库,1744362000000,6,152.13
700,0,汉江,61802700,丹江口水库,1744365600000,6,152.13
702,0,汉江,61802700,丹江口水库,1744369200000,4,152.11
