oq,rvnm,stcd,stnm,tm,wptn,z
650,汉江,61802700,丹江口水库,1774972800000,4,162.520
1500,汉江,61802700,丹江口水库,1774976400000,5,162.530
1500,2370,汉江,61802700,丹江口水库,1774980000000,6,162.530
1510,汉江,61802700,丹江口水库,1774983600000,4,162.510
1510,汉江,61802700,丹江口水库,1774987200000,6,162.510
1510,汉江,61802700,丹江口水库,1774990800000,5,162.520
1510,汉江,61802700,丹江口水库,1774994400000,5,162.530
1510,汉江,61802700,丹江口水库,1774998000000,4,162.520
717,汉江,61802700,丹江口水库,1775005200000,5,162.530
814,汉江,61802700,丹江口水库,1775016000000,6,162.530
1070,472,汉江,61802700,丹江口水库,1775023200000,4,162.510
1210,汉江,61802700,丹江口水库,1775026800000,4,162.500
1520,汉江,61802700,丹江口水库,1775030400000,4,162.490
1530,汉江,61802700,丹江口水库,1775034000000,4,162.480
1530,汉江,61802700,丹江口水库,1775037600000,5,162.490
1530,汉江,61802700,丹江口水库,1775041200000,6,162.490
1530,694,汉江,61802700,丹江口水库,1775044800000,6,162.490
1530,汉江,61802700,丹江口水库,1775052000000,6,162.500
1530,汉江,61802700,丹江口水库,1775055600000,6,162.500
1450,汉江,61802700,丹江口水库,1775070000000,4,162.480
1450,汉江,61802700,丹江口水库,1775073600000,4,162.470
1460,汉江,61802700,丹江口水库,1775077200000,6,162.470
1460,汉江,61802700,丹江口水库,1775080800000,6,162.470
1440,汉江,61802700,丹江口水库,1775084400000,6,162.470
1540,汉江,61802700,丹江口水库,1775098800000,4,162.450
1540,汉江,61802700,丹江口水库,1775106000000,6,162.460
1530,1080,汉江,61802700,丹江口水库,1775109600000,6,162.460
1540,汉江,61802700,丹江口水库,1775113200000,4,162.450
1530,汉江,61802700,丹江口水库,1775116800000,4,162.440
1530,汉江,61802700,丹江口水库,1775120400000,4,162.420
1540,汉江,61802700,丹江口水库,1775124000000,6,162.420
1530,汉江,61802700,丹江口水库,1775127600000,5,162.430
1160,汉江,61802700,丹江口水库,1775134800000,6,162.450
1420,汉江,61802700,丹江口水库,1775138400000,5,162.460
1150,汉江,61802700,丹江口水库,1775142000000,5,162.470
674,汉江,61802700,丹江口水库,1775145600000,4,162.460
1530,汉江,61802700,丹江口水库,1775149200000,4,162.450
1530,1310,汉江,61802700,丹江口水库,1775152800000,6,162.450
1530,汉江,61802700,丹江口水库,1775156400000,4,162.440
1530,汉江,61802700,丹江口水库,1775160000000,6,162.440
1530,汉江,61802700,丹江口水库,1775163600000,5,162.450
1530,汉江,61802700,丹江口水库,1775167200000,6,162.450
1530,汉江,61802700,丹江口水库,1775170800000,4,162.440
